Query Sequence	GO:EggNOG GO Cellular
jg5649.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg5649.t1	GO:0044444-cytoplasmic part(L=4)
jg10756.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg15311.t1	GO:0005737-cytoplasm(L=4)
jg15311.t1	GO:0005794-Golgi apparatus(L=4)
jg15311.t1	GO:0005829-cytosol(L=4)
jg15311.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg15311.t1	GO:0044444-cytoplasmic part(L=4)
jg5695.t1	GO:0016021-integral component of membrane(L=4)
jg6804.t1	GO:0005737-cytoplasm(L=4)
jg6804.t1	GO:0005794-Golgi apparatus(L=4)
jg6804.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg6804.t1	GO:0044444-cytoplasmic part(L=4)
jg26299.t1	GO:0005737-cytoplasm(L=4)
jg26299.t1	GO:0009579-thylakoid(L=4)
jg26299.t1	GO:0016021-integral component of membrane(L=4)
jg26299.t1	GO:0034357-photosynthetic membrane(L=4)
jg26299.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg26299.t1	GO:0044436-thylakoid part(L=4)
jg26299.t1	GO:0044444-cytoplasmic part(L=4)
jg6334.t1	GO:0005737-cytoplasm(L=4)
jg6334.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg6334.t1	GO:0044444-cytoplasmic part(L=4)
jg10661.t1	GO:0005737-cytoplasm(L=4)
jg10661.t1	GO:0005794-Golgi apparatus(L=4)
jg10661.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg10661.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg10661.t1	GO:0044444-cytoplasmic part(L=4)
jg6694.t1	GO:0005737-cytoplasm(L=4)
jg6694.t1	GO:0009579-thylakoid(L=4)
jg6694.t1	GO:0034357-photosynthetic membrane(L=4)
jg6694.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg6694.t1	GO:0044436-thylakoid part(L=4)
jg6694.t1	GO:0044444-cytoplasmic part(L=4)
jg2688.t1	GO:0000502-proteasome complex(L=4)
jg2688.t1	GO:0005737-cytoplasm(L=4)
jg2688.t1	GO:0005829-cytosol(L=4)
jg2688.t1	GO:0005839-proteasome core complex(L=4)
jg2688.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg2688.t1	GO:0044444-cytoplasmic part(L=4)
jg6774.t1	GO:0005737-cytoplasm(L=4)
jg27112.t1	GO:0016021-integral component of membrane(L=4)
jg9662.t1	GO:0005737-cytoplasm(L=4)
jg9662.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg9662.t1	GO:0044444-cytoplasmic part(L=4)
jg5052.t1	GO:0005737-cytoplasm(L=4)
jg5052.t1	GO:0005794-Golgi apparatus(L=4)
jg5052.t1	GO:0016021-integral component of membrane(L=4)
jg5052.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg5052.t1	GO:0044444-cytoplasmic part(L=4)
jg7479.t1	GO:0005737-cytoplasm(L=4)
jg7479.t1	GO:0005829-cytosol(L=4)
jg7479.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg7479.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg7479.t1	GO:0044444-cytoplasmic part(L=4)
jg7372.t1	GO:0005737-cytoplasm(L=4)
jg7372.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg20981.t1	GO:0016021-integral component of membrane(L=4)
jg18822.t1	GO:0005737-cytoplasm(L=4)
jg18822.t1	GO:0005783-endoplasmic reticulum(L=4)
jg18822.t1	GO:0005829-cytosol(L=4)
jg18822.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg18822.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg18822.t1	GO:0044444-cytoplasmic part(L=4)
jg5077.t1	GO:0005737-cytoplasm(L=4)
jg5077.t1	GO:0019866-organelle inner membrane(L=4)
jg5077.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg5077.t1	GO:0044444-cytoplasmic part(L=4)
jg36413.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg14676.t1	GO:0005737-cytoplasm(L=4)
jg14676.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg14676.t1	GO:0044444-cytoplasmic part(L=4)
jg7145.t1	GO:0005737-cytoplasm(L=4)
jg7145.t1	GO:0005794-Golgi apparatus(L=4)
jg7145.t1	GO:0016021-integral component of membrane(L=4)
jg7145.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg7145.t1	GO:0044444-cytoplasmic part(L=4)
jg7316.t1	GO:0005618-cell wall(L=4)
jg18046.t1	GO:0005694-chromosome(L=4)
jg18046.t1	GO:0005737-cytoplasm(L=4)
jg18046.t1	GO:0005783-endoplasmic reticulum(L=4)
jg18046.t1	GO:0005794-Golgi apparatus(L=4)
jg18046.t1	GO:0005829-cytosol(L=4)
jg18046.t1	GO:0012506-vesicle membrane(L=4)
jg18046.t1	GO:0030117-membrane coat(L=4)
jg18046.t1	GO:0030120-vesicle coat(L=4)
jg18046.t1	GO:0031410-cytoplasmic vesicle(L=4)
jg18046.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg18046.t1	GO:0044444-cytoplasmic part(L=4)
jg6760.t1	GO:0005737-cytoplasm(L=4)
jg6760.t1	GO:0005829-cytosol(L=4)
jg6760.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg6760.t1	GO:0044444-cytoplasmic part(L=4)
jg30811.t1	GO:0016021-integral component of membrane(L=4)
jg16486.t1	GO:0005737-cytoplasm(L=4)
jg16486.t1	GO:0005829-cytosol(L=4)
jg16486.t1	GO:0012506-vesicle membrane(L=4)
jg16486.t1	GO:0030117-membrane coat(L=4)
jg16486.t1	GO:0030120-vesicle coat(L=4)
jg16486.t1	GO:0031410-cytoplasmic vesicle(L=4)
jg16486.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg16486.t1	GO:0044444-cytoplasmic part(L=4)
jg2819.t1	GO:0005737-cytoplasm(L=4)
jg2819.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg2819.t1	GO:0044444-cytoplasmic part(L=4)
jg24020.t1	GO:0005618-cell wall(L=4)
jg24020.t1	GO:0005737-cytoplasm(L=4)
jg24020.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg24020.t1	GO:0044444-cytoplasmic part(L=4)
jg6102.t1	GO:0005737-cytoplasm(L=4)
jg12081.t1	GO:0005737-cytoplasm(L=4)
jg12081.t1	GO:0005794-Golgi apparatus(L=4)
jg12081.t1	GO:0016021-integral component of membrane(L=4)
jg12081.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12081.t1	GO:0044444-cytoplasmic part(L=4)
jg14496.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg24513.t1	GO:0005737-cytoplasm(L=4)
jg24513.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg24513.t1	GO:0044444-cytoplasmic part(L=4)
jg21191.t1	GO:0005737-cytoplasm(L=4)
jg21191.t1	GO:0005794-Golgi apparatus(L=4)
jg21191.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg21191.t1	GO:0044444-cytoplasmic part(L=4)
jg18846.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg7807.t1	GO:0005737-cytoplasm(L=4)
jg7807.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg7807.t1	GO:0044444-cytoplasmic part(L=4)
jg21878.t1	GO:0005737-cytoplasm(L=4)
jg21878.t1	GO:0005829-cytosol(L=4)
jg21878.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg21878.t1	GO:0044444-cytoplasmic part(L=4)
jg6468.t1	GO:0005737-cytoplasm(L=4)
jg6468.t1	GO:0005794-Golgi apparatus(L=4)
jg6468.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg6468.t1	GO:0044444-cytoplasmic part(L=4)
jg4277.t1	GO:0016021-integral component of membrane(L=4)
jg23453.t1	GO:0005737-cytoplasm(L=4)
jg23453.t1	GO:0005829-cytosol(L=4)
jg23453.t1	GO:0044444-cytoplasmic part(L=4)
jg28198.t1	GO:0005737-cytoplasm(L=4)
jg28198.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg28198.t1	GO:0044444-cytoplasmic part(L=4)
jg5957.t1	GO:0005737-cytoplasm(L=4)
jg5957.t1	GO:0005829-cytosol(L=4)
jg5957.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg5957.t1	GO:0044444-cytoplasmic part(L=4)
jg19643.t1	GO:0005737-cytoplasm(L=4)
jg19643.t1	GO:0005829-cytosol(L=4)
jg19643.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg19643.t1	GO:0044444-cytoplasmic part(L=4)
jg6081.t1	GO:0005618-cell wall(L=4)
jg6081.t1	GO:0005737-cytoplasm(L=4)
jg6081.t1	GO:0005783-endoplasmic reticulum(L=4)
jg6081.t1	GO:0005794-Golgi apparatus(L=4)
jg6081.t1	GO:0005829-cytosol(L=4)
jg6081.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg6081.t1	GO:0044444-cytoplasmic part(L=4)
jg7152.t1	GO:0005737-cytoplasm(L=4)
jg7152.t1	GO:0009579-thylakoid(L=4)
jg7152.t1	GO:0016021-integral component of membrane(L=4)
jg7152.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg7152.t1	GO:0044444-cytoplasmic part(L=4)
jg3347.t1	GO:0031225-anchored component of membrane(L=4)
jg7063.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg31329.t1	GO:0005737-cytoplasm(L=4)
jg31329.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg31329.t1	GO:0044444-cytoplasmic part(L=4)
jg10034.t1	GO:0009521-photosystem(L=4)
jg10034.t1	GO:0009579-thylakoid(L=4)
jg10034.t1	GO:0034357-photosynthetic membrane(L=4)
jg10034.t1	GO:0044436-thylakoid part(L=4)
jg34243.t1	GO:0005737-cytoplasm(L=4)
jg34243.t1	GO:0005794-Golgi apparatus(L=4)
jg34243.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg34243.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg34243.t1	GO:0044444-cytoplasmic part(L=4)
jg14064.t1	GO:0005737-cytoplasm(L=4)
jg14064.t1	GO:0005829-cytosol(L=4)
jg14064.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg14064.t1	GO:0044444-cytoplasmic part(L=4)
jg14963.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg5581.t1	GO:0005737-cytoplasm(L=4)
jg5581.t1	GO:0016021-integral component of membrane(L=4)
jg5581.t1	GO:0031301-integral component of organelle membrane(L=4)
jg5581.t1	GO:0031351-integral component of plastid membrane(L=4)
jg5581.t1	GO:0031968-organelle outer membrane(L=4)
jg5581.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg5581.t1	GO:0044444-cytoplasmic part(L=4)
jg12283.t1	GO:0016021-integral component of membrane(L=4)
jg14674.t1	GO:0005737-cytoplasm(L=4)
jg14674.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg1811.t1	GO:0005737-cytoplasm(L=4)
jg1811.t1	GO:0005783-endoplasmic reticulum(L=4)
jg1811.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg1811.t1	GO:0044444-cytoplasmic part(L=4)
jg12748.t1	GO:0005737-cytoplasm(L=4)
jg12748.t1	GO:0005829-cytosol(L=4)
jg12748.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12748.t1	GO:0044444-cytoplasmic part(L=4)
jg7278.t1	GO:0005737-cytoplasm(L=4)
jg7278.t1	GO:0005829-cytosol(L=4)
jg7278.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg7278.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg7278.t1	GO:0044444-cytoplasmic part(L=4)
jg5310.t1	GO:0005618-cell wall(L=4)
jg5310.t1	GO:0005737-cytoplasm(L=4)
jg5310.t1	GO:0005829-cytosol(L=4)
jg5310.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg5310.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg5310.t1	GO:0044444-cytoplasmic part(L=4)
jg30615.t1	GO:0005737-cytoplasm(L=4)
jg30615.t1	GO:0005794-Golgi apparatus(L=4)
jg30615.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg30615.t1	GO:0044444-cytoplasmic part(L=4)
jg2328.t1	GO:0005737-cytoplasm(L=4)
jg2328.t1	GO:0005829-cytosol(L=4)
jg2328.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg2328.t1	GO:0044444-cytoplasmic part(L=4)
jg5849.t1	GO:0005737-cytoplasm(L=4)
jg5849.t1	GO:0005829-cytosol(L=4)
jg5849.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg5849.t1	GO:0044444-cytoplasmic part(L=4)
jg23768.t1	GO:0005737-cytoplasm(L=4)
jg23768.t1	GO:0005829-cytosol(L=4)
jg23768.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg23768.t1	GO:0044444-cytoplasmic part(L=4)
jg12982.t1	GO:0005737-cytoplasm(L=4)
jg12982.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12982.t1	GO:0044444-cytoplasmic part(L=4)
jg22223.t1	GO:0005737-cytoplasm(L=4)
jg22223.t1	GO:0005783-endoplasmic reticulum(L=4)
jg22223.t1	GO:0005794-Golgi apparatus(L=4)
jg22223.t1	GO:0016021-integral component of membrane(L=4)
jg22223.t1	GO:0030176-integral component of endoplasmic reticulum membrane(L=4)
jg22223.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg22223.t1	GO:0031301-integral component of organelle membrane(L=4)
jg22223.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg22223.t1	GO:0044444-cytoplasmic part(L=4)
jg33459.t1	GO:0005737-cytoplasm(L=4)
jg33459.t1	GO:0005794-Golgi apparatus(L=4)
jg33459.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg33459.t1	GO:0044444-cytoplasmic part(L=4)
jg26138.t1	GO:0016021-integral component of membrane(L=4)
jg5600.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg34967.t1	GO:0005635-nuclear envelope(L=4)
jg34967.t1	GO:0005737-cytoplasm(L=4)
jg34967.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg34967.t1	GO:0044444-cytoplasmic part(L=4)
jg35778.t1	GO:0005737-cytoplasm(L=4)
jg35778.t1	GO:0005829-cytosol(L=4)
jg35778.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg35778.t1	GO:0044444-cytoplasmic part(L=4)
jg4932.t1	GO:0005737-cytoplasm(L=4)
jg4932.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg4932.t1	GO:0044444-cytoplasmic part(L=4)
jg34539.t1	GO:0005737-cytoplasm(L=4)
jg34539.t1	GO:0005829-cytosol(L=4)
jg34539.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg34539.t1	GO:0044444-cytoplasmic part(L=4)
jg34539.t1	GO:0070062-extracellular exosome(L=4)
jg32562.t1	GO:0005667-transcription factor complex(L=4)
jg32562.t1	GO:0030880-RNA polymerase complex(L=4)
jg32562.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg6560.t1	GO:0005737-cytoplasm(L=4)
jg6560.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg6560.t1	GO:0044444-cytoplasmic part(L=4)
jg6728.t1	GO:0005694-chromosome(L=4)
jg6728.t1	GO:0031011-Ino80 complex(L=4)
jg6728.t1	GO:0033202-DNA helicase complex(L=4)
jg6728.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg24846.t1	GO:0000311-plastid large ribosomal subunit(L=4)
jg24846.t1	GO:0005737-cytoplasm(L=4)
jg24846.t1	GO:0005829-cytosol(L=4)
jg24846.t1	GO:0009579-thylakoid(L=4)
jg24846.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg24846.t1	GO:0034357-photosynthetic membrane(L=4)
jg24846.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg24846.t1	GO:0044436-thylakoid part(L=4)
jg24846.t1	GO:0044444-cytoplasmic part(L=4)
jg32358.t1	GO:0005618-cell wall(L=4)
jg16502.t1	GO:0031225-anchored component of membrane(L=4)
jg16502.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg16502.t1	GO:0046658-anchored component of plasma membrane(L=4)
jg1175.t1	GO:0005737-cytoplasm(L=4)
jg1175.t1	GO:0005794-Golgi apparatus(L=4)
jg1175.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg1175.t1	GO:0044444-cytoplasmic part(L=4)
jg25575.t1	GO:0016021-integral component of membrane(L=4)
jg12420.t1	GO:0005737-cytoplasm(L=4)
jg12420.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg36236.t1	GO:0005737-cytoplasm(L=4)
jg36236.t1	GO:0005829-cytosol(L=4)
jg36236.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg36236.t1	GO:0044444-cytoplasmic part(L=4)
jg5127.t1	GO:0005737-cytoplasm(L=4)
jg5127.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg5127.t1	GO:0044444-cytoplasmic part(L=4)
jg22529.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg34041.t1	GO:0005737-cytoplasm(L=4)
jg34041.t1	GO:0016021-integral component of membrane(L=4)
jg34041.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg34041.t1	GO:0044444-cytoplasmic part(L=4)
jg35347.t1	GO:0005737-cytoplasm(L=4)
jg35347.t1	GO:0005783-endoplasmic reticulum(L=4)
jg35347.t1	GO:0009579-thylakoid(L=4)
jg35347.t1	GO:0016021-integral component of membrane(L=4)
jg35347.t1	GO:0019866-organelle inner membrane(L=4)
jg35347.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg35347.t1	GO:0044444-cytoplasmic part(L=4)
jg7148.t1	GO:0005737-cytoplasm(L=4)
jg7148.t1	GO:0005829-cytosol(L=4)
jg7148.t1	GO:0010170-glucose-1-phosphate adenylyltransferase complex(L=4)
jg7148.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg7148.t1	GO:0044444-cytoplasmic part(L=4)
jg20482.t1	GO:0005618-cell wall(L=4)
jg20482.t1	GO:0005737-cytoplasm(L=4)
jg20482.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg20482.t1	GO:0044444-cytoplasmic part(L=4)
jg7363.t1	GO:0005737-cytoplasm(L=4)
jg7363.t1	GO:0005829-cytosol(L=4)
jg7363.t1	GO:0044444-cytoplasmic part(L=4)
jg7363.t1	GO:0090406-pollen tube(L=4)
jg6653.t1	GO:0005737-cytoplasm(L=4)
jg6653.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg6653.t1	GO:0044444-cytoplasmic part(L=4)
jg24178.t1	GO:0005737-cytoplasm(L=4)
jg24178.t1	GO:0019866-organelle inner membrane(L=4)
jg24178.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg24178.t1	GO:0044444-cytoplasmic part(L=4)
jg5553.t1	GO:0005737-cytoplasm(L=4)
jg5553.t1	GO:0005783-endoplasmic reticulum(L=4)
jg5553.t1	GO:0016021-integral component of membrane(L=4)
jg5553.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg5553.t1	GO:0044444-cytoplasmic part(L=4)
jg22155.t1	GO:0005694-chromosome(L=4)
jg22155.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg22155.t1	GO:0042575-DNA polymerase complex(L=4)
jg22155.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg2870.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg34709.t1	GO:0000502-proteasome complex(L=4)
jg34709.t1	GO:0005737-cytoplasm(L=4)
jg34709.t1	GO:0005829-cytosol(L=4)
jg34709.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg34709.t1	GO:0044444-cytoplasmic part(L=4)
jg12675.t1	GO:0005737-cytoplasm(L=4)
jg12675.t1	GO:0005783-endoplasmic reticulum(L=4)
jg12675.t1	GO:0005794-Golgi apparatus(L=4)
jg12675.t1	GO:0016021-integral component of membrane(L=4)
jg12675.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12675.t1	GO:0044444-cytoplasmic part(L=4)
jg3635.t1	GO:0016469-proton-transporting two-sector ATPase complex(L=4)
jg3635.t1	GO:0045259-proton-transporting ATP synthase complex(L=4)
jg3635.t1	GO:0045261-proton-transporting ATP synthase complex, catalytic core F(1)(L=4)
jg7227.t1	GO:0005618-cell wall(L=4)
jg7227.t1	GO:0016021-integral component of membrane(L=4)
jg26543.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg10689.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg23613.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg6671.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg29777.t1	GO:0016021-integral component of membrane(L=4)
jg24634.t1	GO:0005737-cytoplasm(L=4)
jg24634.t1	GO:0005794-Golgi apparatus(L=4)
jg24634.t1	GO:0005829-cytosol(L=4)
jg24634.t1	GO:0012506-vesicle membrane(L=4)
jg24634.t1	GO:0030117-membrane coat(L=4)
jg24634.t1	GO:0030120-vesicle coat(L=4)
jg24634.t1	GO:0031410-cytoplasmic vesicle(L=4)
jg24634.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg24634.t1	GO:0044444-cytoplasmic part(L=4)
jg26722.t1	GO:0005737-cytoplasm(L=4)
jg26722.t1	GO:0005794-Golgi apparatus(L=4)
jg26722.t1	GO:0016021-integral component of membrane(L=4)
jg26722.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg26722.t1	GO:0044444-cytoplasmic part(L=4)
jg33777.t1	GO:0016021-integral component of membrane(L=4)
jg7340.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg15354.t1	GO:0005737-cytoplasm(L=4)
jg15354.t1	GO:0009579-thylakoid(L=4)
jg15354.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg15354.t1	GO:0044444-cytoplasmic part(L=4)
jg6342.t1	GO:0005618-cell wall(L=4)
jg6342.t1	GO:0005737-cytoplasm(L=4)
jg6342.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg6342.t1	GO:0044444-cytoplasmic part(L=4)
jg14871.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg20844.t1	GO:0005737-cytoplasm(L=4)
jg20844.t1	GO:0031143-pseudopodium(L=4)
jg20844.t1	GO:0044444-cytoplasmic part(L=4)
jg13984.t1	GO:0016021-integral component of membrane(L=4)
jg30634.t1	GO:0005737-cytoplasm(L=4)
jg30634.t1	GO:0016021-integral component of membrane(L=4)
jg30634.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg30634.t1	GO:0044444-cytoplasmic part(L=4)
jg5938.t1	GO:0005737-cytoplasm(L=4)
jg5938.t1	GO:0005783-endoplasmic reticulum(L=4)
jg5938.t1	GO:0005794-Golgi apparatus(L=4)
jg5938.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg5938.t1	GO:0044444-cytoplasmic part(L=4)
jg20410.t1	GO:0005737-cytoplasm(L=4)
jg20410.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg20410.t1	GO:0044444-cytoplasmic part(L=4)
jg20678.t1	GO:0005737-cytoplasm(L=4)
jg20678.t1	GO:0009579-thylakoid(L=4)
jg20678.t1	GO:0016021-integral component of membrane(L=4)
jg20678.t1	GO:0019866-organelle inner membrane(L=4)
jg20678.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg20678.t1	GO:0044444-cytoplasmic part(L=4)
jg25717.t1	GO:0005737-cytoplasm(L=4)
jg25717.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg25717.t1	GO:0044444-cytoplasmic part(L=4)
jg24219.t1	GO:0005737-cytoplasm(L=4)
jg24219.t1	GO:0005829-cytosol(L=4)
jg24219.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg24219.t1	GO:0044444-cytoplasmic part(L=4)
jg2607.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg26188.t1	GO:0005737-cytoplasm(L=4)
jg26188.t1	GO:0009579-thylakoid(L=4)
jg26188.t1	GO:0034357-photosynthetic membrane(L=4)
jg26188.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg26188.t1	GO:0044436-thylakoid part(L=4)
jg26188.t1	GO:0044444-cytoplasmic part(L=4)
jg20377.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg3354.t1	GO:0005737-cytoplasm(L=4)
jg3354.t1	GO:0005829-cytosol(L=4)
jg3354.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg3354.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg3354.t1	GO:0044444-cytoplasmic part(L=4)
jg8390.t1	GO:0005737-cytoplasm(L=4)
jg8390.t1	GO:0009579-thylakoid(L=4)
jg8390.t1	GO:0034357-photosynthetic membrane(L=4)
jg8390.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg8390.t1	GO:0044436-thylakoid part(L=4)
jg8390.t1	GO:0044444-cytoplasmic part(L=4)
jg25966.t1	GO:0005635-nuclear envelope(L=4)
jg25966.t1	GO:0005737-cytoplasm(L=4)
jg25966.t1	GO:0005829-cytosol(L=4)
jg25966.t1	GO:0016021-integral component of membrane(L=4)
jg25966.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg25966.t1	GO:0044444-cytoplasmic part(L=4)
jg25966.t1	GO:0046930-pore complex(L=4)
jg21364.t1	GO:0005737-cytoplasm(L=4)
jg21364.t1	GO:0005829-cytosol(L=4)
jg21364.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg21364.t1	GO:0044444-cytoplasmic part(L=4)
jg5625.t1	GO:0000151-ubiquitin ligase complex(L=4)
jg12901.t1	GO:0005737-cytoplasm(L=4)
jg12901.t1	GO:0016021-integral component of membrane(L=4)
jg12901.t1	GO:0030288-outer membrane-bounded periplasmic space(L=4)
jg12901.t1	GO:0030313-cell envelope(L=4)
jg12901.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12901.t1	GO:0044444-cytoplasmic part(L=4)
jg26162.t1	GO:0005737-cytoplasm(L=4)
jg26162.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg26162.t1	GO:0044444-cytoplasmic part(L=4)
jg16967.t1	GO:0005737-cytoplasm(L=4)
jg16967.t1	GO:0005829-cytosol(L=4)
jg16967.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg16967.t1	GO:0044444-cytoplasmic part(L=4)
jg27945.t1	GO:0005737-cytoplasm(L=4)
jg27945.t1	GO:0005829-cytosol(L=4)
jg27945.t1	GO:0009579-thylakoid(L=4)
jg27945.t1	GO:0016469-proton-transporting two-sector ATPase complex(L=4)
jg27945.t1	GO:0019866-organelle inner membrane(L=4)
jg27945.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg27945.t1	GO:0034357-photosynthetic membrane(L=4)
jg27945.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg27945.t1	GO:0044436-thylakoid part(L=4)
jg27945.t1	GO:0044444-cytoplasmic part(L=4)
jg27945.t1	GO:0044455-mitochondrial membrane part(L=4)
